,recipe_title,총합_에너지(kcal),총합_수분(g),총합_단백질(g),총합_지방(g),총합_회분(g),총합_탄수화물(g),총합_당류(g),총합_식이섬유(g),총합_칼슘(mg),총합_철(mg),총합_인(mg),총합_칼륨(mg),총합_나트륨(mg),총합_비타민a(μg rae),총합_레티놀(μg),총합_베타카로틴(μg),총합_티아민(mg),총합_리보플라빈(mg),총합_니아신(mg),총합_비타민c(mg),총합_비타민d(μg),총합_콜레스테롤(mg),총합_포화지방산(g),총합_트랜스지방산(g),총합_폐기율(%)
848,바나나 로띠 ( banana roti ),628.0,28.6,7.6,0.8,6.0,157.0,107.8,14.0,52.0,2.2,168.0,2600.0,2.0,112.0,0.0,1340.0,0.14,0.24,2.8,0.0,0.0,0.0,0.3,0.0,0.0
849,고구마에어프라이어,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850,톡! 깨먹는 재미! 진한 녹차크렘브륄레,255.0,88.25,3.14,3.33,0.77,54.515,50.545,0.0,137.0,0.395,84.5,190.0,45.0,55.0,55.0,0.0,0.02,0.162,0.3,0.8,0.0,9.7,2.17,0.14,0.0
851,닭감자조림,734.95,712.925,21.316,0.824,8.179,166.756,4.748,17.25,47.85,4.475,456.05,3184.2,19.85,9.0,0.0,72.0,1.086,0.47,1.009,0.08,0.0,0.0,0.182,0.0,0.0
852,칼칼한 양미리구이조림,95.7,3.75,3.987,2.52,1.557,18.186,5.235,11.31,23.7,1.467,102.6,762.3,3.9,184.2,0.0,2208.9,0.129,0.648,2.529,0.0,0.0,0.0,0.444,0.015,0.0
853,소세지맛탕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
854,뜯어 먹는 재미~[아코디언 감자구이],138.15,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,10.65,0.0,0.0,0.0,0.0,0.0,0.0,2.256,0.004,0.0
855,조기조림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
856,웨지감자&에그스크럼블 집에서 브런치 즐겨요 :),223.0,245.0,7.76,3.5,2.47,41.27,4.12,3.8,123.0,1.03,184.0,845.0,38.0,57.0,55.0,16.0,0.26,0.266,0.52,0.8,0.0,9.7,2.21,0.14,0.0
857,반건조오징어로 버터구이 만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,닭고기 허브구이,2136.1,990.895,60.402,88.813,18.29,301.559,32.18,41.49,515.0,13.618,1512.5,5284.25,2017.5,4.7,0.0,51.95,1.587,0.711,5.47,127.78,0.0,0.0,19.744,0.014,62.0
859,고소한 스트링 콘치즈,28.5,0.128,0.009,0.002,0.015,7.348,6.964,0.0,3.6,0.052,0.075,7.05,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,돼지고기 간장 불고기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,"<콩나물부추무침>만드는법, 고기를 부르는 맛! 봄부추로 면역력 높여요!",513.2,328.822,20.344,28.856,10.422,54.038,27.077,12.21,284.8,8.02,372.675,1368.1,2015.9,232.85,0.0,2785.55,0.501,1.215,4.078,58.68,0.0,0.0,2.669,0.058,0.0
862,"바지락 무침.(바지락 비빔밥, 바지락 비빔국수.)",143.55,5.625,5.98,3.78,2.336,27.279,7.852,16.965,35.55,2.2,153.9,1143.45,5.85,276.3,0.0,3313.35,0.194,0.972,3.794,0.0,0.0,0.0,0.666,0.023,0.0
863,에어프라이어에 구운 파프리카구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,에어프라이어 요리 구운계란 만드는법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,겨울철 별미 밥도둑! 고등어조림,107.85,385.075,4.114,1.98,1.819,22.173,10.018,11.255,87.85,1.213,131.3,921.15,29.95,92.1,0.0,1104.45,0.064,0.324,2.024,33.6,0.0,0.0,0.262,0.008,0.0
866,매콤한 코다리조림 만드는 법,236.85,115.13,8.931,10.053,11.755,34.144,7.465,11.49,49.4,2.331,218.0,1393.75,3604.25,184.25,0.0,2209.45,0.322,0.71,3.2,3.8,0.0,0.0,1.197,0.03,12.0
867,수삼구이 브런치~만들기~! 어디든 잘 어울리는 수삼~!!^^,666.0,84.0,28.8,40.6,3.2,43.4,0.0,0.0,244.0,11.2,998.0,130.0,276.0,590.0,590.0,0.0,0.68,1.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0
868,토마토소스 폭찹,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869,인기만점 야채오징어볼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,사워크림 치즈통감자구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,크림치즈요리 고구마구이,93.9,4.32,0.114,0.006,0.141,25.419,20.154,0.0,3.0,0.042,2.4,60.9,0.3,0.0,0.0,0.0,0.0,0.425,0.075,0.0,0.0,0.0,0.003,0.0,0.0
872,연유 브레드푸딩,156.0,209.76,7.392,7.968,1.608,13.272,9.888,0.0,271.2,0.12,201.6,343.2,86.4,132.0,132.0,0.0,0.048,0.389,0.72,1.92,0.0,23.28,5.208,0.336,0.0
873,미타라시 당고 / 오늘도 고생한 나에게#21 [ 심야레시피 ],152.7,21.817,1.821,0.016,6.378,37.48,34.906,0.12,29.7,0.457,36.675,232.35,2406.45,0.0,0.0,0.0,0.042,0.033,0.261,0.0,0.0,0.0,0.0,0.0,0.0
874,집에서 부드러운 고구마간식 만들기! 달달한 고구마경단 ♥,568.9,677.32,7.274,1.176,5.591,138.639,74.054,38.5,904.0,4.292,142.4,1577.9,22.3,119.0,0.0,1447.0,0.07,0.615,1.475,0.0,0.0,0.0,0.433,0.0,0.0
875,간단간단 간식,314.0,14.3,3.8,0.4,3.0,78.5,53.9,7.0,26.0,1.1,84.0,1300.0,1.0,56.0,0.0,670.0,0.07,0.12,1.4,0.0,0.0,0.0,0.15,0.0,0.0
876,석류 요리 / 석류 시리얼 파르페,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
877,[틴소믹서 (스파믹서)로 제노와즈 대량생산하기!!!] 5배합 (영상/레시피포함),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
878,구운 계란 반찬,492.65,79.69,2.28,47.356,0.772,14.903,2.1,0.0,25.35,1.268,100.55,358.2,7.2,0.45,0.0,4.95,0.13,0.042,0.28,3.8,0.0,0.0,6.612,0.13,12.0
879,고구마 요리 맛탕 만드는 법,46.0,188.2,0.96,0.22,0.7,9.92,0.0,9.0,250.0,0.9,16.0,62.0,6.0,18.0,0.0,222.0,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0
880,겨울에만 맛볼 수 있는~ 양미리조림 - 딸에게#,62.4,228.16,8.752,0.218,13.806,9.082,0.174,0.24,101.4,17.396,194.6,394.2,4799.4,14.0,0.0,164.0,0.164,0.545,0.922,16.0,0.0,0.0,0.0,0.0,0.0
881,국물까지 맛있는 닭감자조림,228.825,105.552,9.046,5.7,8.999,43.212,13.373,14.258,49.725,2.546,220.6,1487.675,2405.475,230.25,0.0,2761.125,0.333,0.852,3.702,3.8,0.0,0.0,0.575,0.019,12.0
882,백종원 어묵치즈구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
883,웨지감자 만들기,316.0,315.2,9.36,0.36,3.6,71.48,0.0,7.6,20.0,1.96,200.0,1404.0,4.0,4.0,0.0,32.0,0.48,0.208,0.44,0.0,0.0,0.0,0.08,0.0,0.0
884,생물 고등어 묵은지 감자조림,5.1,10.59,0.888,0.004,3.152,0.37,0.044,0.06,5.85,0.099,18.15,98.55,1199.85,0.0,0.0,0.0,0.021,0.016,0.13,0.0,0.0,0.0,0.0,0.0,0.0
885,통감자버터구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
886,둥근마 꿀맛탕,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
887,구운 계란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
888,부드럽고 촉촉한 식빵푸딩 만드는법,822.0,293.76,36.192,48.568,4.808,56.672,9.888,0.0,515.2,11.32,1199.6,473.2,362.4,722.0,722.0,0.0,0.728,1.909,1.72,1.92,0.0,23.28,5.208,0.336,0.0
889,고소한 구운감자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
890,갈치조림 했네요...이소말토 올리고당 넣고 ~,30.6,63.54,5.328,0.027,18.909,2.223,0.261,0.36,35.1,0.594,108.9,591.3,7199.1,0.0,0.0,0.0,0.126,0.098,0.783,0.0,0.0,0.0,0.0,0.0,0.0
891,간단하게 만드는 '딸기쉐이크',113.15,131.82,4.639,4.981,1.029,12.532,9.539,0.0,170.0,0.082,126.4,224.65,54.05,82.5,82.5,0.0,0.03,0.314,0.462,1.2,0.0,14.55,3.256,0.21,0.0
892,크리스마스 홈파티엔 참치 카나페,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
893,떠 먹는 감자치즈요리!!! '감치',79.0,78.8,2.34,0.09,0.9,17.87,0.0,1.9,5.0,0.49,50.0,351.0,1.0,1.0,0.0,8.0,0.12,0.052,0.11,0.0,0.0,0.0,0.02,0.0,0.0
894,초간단 요리초보 쉬운요리 간단메뉴 간식 디저트 아이간식 요거트 아이스크림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
895,"백종원 부추무침, 찰떡궁합! 훈제오리 부추무침",405.525,201.62,8.821,18.834,3.149,57.499,31.132,17.588,138.225,2.882,221.325,1585.925,41.175,412.4,0.0,4954.775,0.258,1.042,3.338,30.64,0.0,0.0,2.86,0.062,0.0
896,부드럽고 달콤한 오분 군고구마,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
897,[한국조리사관직업전문학교] 육우표고구이,140.0,329.6,12.0,2.8,3.6,52.0,0.0,0.0,20.0,2.4,136.0,984.0,24.0,0.0,0.0,0.0,0.24,1.08,8.0,0.0,0.0,0.0,0.0,0.0,0.0
898,에어프라이어로 만든 추억의 군밤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
899,광파오븐으로 꿀군고구마만들기#고구마다이어트_이거면 군것질 절대안함.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,[간단한 간식]후라이팬으로 군밤만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
901,마약옥수수 만들기,234.0,268.11,5.136,0.906,1.86,53.991,27.855,0.0,44.4,1.407,159.3,28.2,5.4,0.0,0.0,0.0,0.51,0.3,0.6,66.0,0.0,0.0,0.0,0.0,0.0
902,고등어 조림,21.3,8.73,2.04,1.033,2.11,1.089,0.061,0.72,17.1,0.488,31.2,70.95,772.8,0.15,0.0,1.05,0.066,0.028,0.102,0.0,0.0,0.0,0.152,0.003,0.0
903,군고구마,161.0,658.7,3.36,0.77,2.45,34.72,0.0,31.5,875.0,3.15,56.0,217.0,21.0,63.0,0.0,777.0,0.0,0.07,0.0,0.0,0.0,0.0,0.28,0.0,0.0
904,옥수수 마늘 버터구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,초코소보로,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,웨지감자,237.0,236.4,7.02,0.27,2.7,53.61,0.0,5.7,15.0,1.47,150.0,1053.0,3.0,3.0,0.0,24.0,0.36,0.156,0.33,0.0,0.0,0.0,0.06,0.0,0.0
907,치즈스틱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,양미리 조림,428.0,136.81,32.216,11.046,4.5,45.431,29.955,0.0,135.4,2.187,398.3,692.2,133.4,103.0,103.0,0.0,0.37,0.44,6.18,4.8,0.0,0.0,0.02,0.0,45.0
909,노른자만 남았을때! 카라멜 커스터드푸딩 만들기❤,97.5,131.1,4.62,4.98,1.005,8.295,6.18,0.0,169.5,0.075,126.0,214.5,54.0,82.5,82.5,0.0,0.03,0.243,0.45,1.2,0.0,14.55,3.255,0.21,0.0
910,쫀듹한 젤리밥 듬~뿍! 씹는 감이 재미있어~ 겨울 꿀 간식 젤리밥 아이스크림!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,우유 아이스크림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,"상큼한 딸기+부드러운 크림치즈가 새콤 달콤♥간단하게 핑거푸드, 딸기카나페!",157.3,484.11,4.243,0.578,2.048,39.021,1.992,0.81,67.1,2.084,138.3,802.5,11.8,6.2,0.0,74.4,0.115,0.112,1.734,411.14,0.0,0.0,0.006,0.0,10.0
913,"노젤라틴! 푸딩푸딩! 딸기맛, 초코맛으로 만든 제티푸딩",468.0,629.28,22.176,23.904,4.824,39.816,29.664,0.0,813.6,0.36,604.8,1029.6,259.2,396.0,396.0,0.0,0.144,1.166,2.16,5.76,0.0,69.84,15.624,1.008,0.0
914,삼겹살매콤소스무침 l 삼겹살을 차갑게 먹는 방법 ???!!!!,146.4,89.27,4.353,0.199,12.901,33.278,28.874,0.99,60.3,0.738,87.9,557.9,4804.8,45.5,0.0,548.0,0.104,0.119,0.552,7.6,0.0,0.0,0.025,0.0,0.0
915,커리베이컨 떡구이,160.0,159.2,4.56,5.08,1.48,29.68,4.2,0.0,12.0,0.96,112.0,666.0,0.0,0.0,0.0,0.0,0.26,0.02,0.56,7.6,0.0,0.0,0.04,0.0,24.0
916,느끼함이 없는 오코노미야끼..고독한미식가 6시즌 꿀팁!!,1045.05,126.0,43.2,65.9,4.8,65.1,0.0,0.0,366.0,16.8,1497.0,195.0,414.0,885.3,885.0,3.55,1.02,2.28,1.5,0.0,0.0,0.0,0.752,0.002,0.0
917,묵은지 고등어조림,79.0,78.8,2.34,0.09,0.9,17.87,0.0,1.9,5.0,0.49,50.0,351.0,1.0,1.0,0.0,8.0,0.12,0.052,0.11,0.0,0.0,0.0,0.02,0.0,0.0
918,고구마숙성기간 보관하는법도 알고 고구마말랭이 해먹어보아요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,에어프라이기는 보물이예요~^^ 군밤 가래떡으로 아이들간식 만들어 보세요,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,갈치조림 만들기,4.175,5.35,0.421,0.008,1.085,0.637,0.067,0.095,2.175,0.048,9.05,43.1,404.925,0.0,0.0,0.0,0.01,0.006,0.053,0.04,0.0,0.0,0.001,0.0,0.0
921,탱글탱글 고등어 조림,14.85,10.92,0.75,0.04,0.207,3.082,0.316,0.45,1.35,0.09,18.0,61.5,29.85,0.0,0.0,0.0,0.016,0.006,0.057,0.24,0.0,0.0,0.008,0.0,0.0
922,옥수수 버터구이,322.4,714.455,13.6,2.4,18.345,66.2,0.0,0.0,102.35,7.16,424.0,18.75,5941.8,0.0,0.0,0.0,1.36,0.8,1.6,176.0,0.0,0.0,0.0,0.0,0.0
923,통감자버터구이,57.8,0.54,0.018,0.003,4.545,14.895,13.927,0.0,14.65,1.424,0.15,20.35,1983.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
924,버섯 와인 닭조림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
925,복숭아 우유 아이스크림~*,166.0,244.12,6.284,6.766,1.696,21.134,17.626,0.0,204.4,0.28,172.2,495.4,64.8,99.0,99.0,0.0,0.176,0.304,0.63,6.14,0.0,17.46,3.916,0.252,18.0
926,토마토 아이스바,146.22,188.034,1.994,0.126,3.347,38.499,27.854,3.4,21.98,1.13,60.4,721.4,806.54,96.0,0.0,1144.0,0.02,0.467,0.775,35.0,0.0,0.0,0.043,0.0,0.0
927,< 간식> 감자칩 / 전자렌지,237.0,236.4,7.02,0.27,2.7,53.61,0.0,5.7,15.0,1.47,150.0,1053.0,3.0,3.0,0.0,24.0,0.36,0.156,0.33,0.0,0.0,0.0,0.06,0.0,0.0
928,노오븐! 간단한 크렘브륄레 만들기 [NO BAKE] Creme brulee,385.0,263.05,9.3,9.97,2.11,65.575,58.785,0.0,363.0,0.495,252.5,476.0,117.0,165.0,165.0,0.0,0.06,0.486,0.9,2.4,0.0,29.1,6.51,0.42,0.0
929,마시멜로우아이스크림 달콤해서 너무 져아~♬,117.0,157.32,5.544,5.976,1.206,9.954,7.416,0.0,203.4,0.09,151.2,257.4,64.8,99.0,99.0,0.0,0.036,0.292,0.54,1.44,0.0,17.46,3.906,0.252,0.0
930,아코디언 감자 만들기 - 한장씩 뜯어먹는 재미!,237.0,236.4,7.02,0.27,2.7,53.61,0.0,5.7,15.0,1.47,150.0,1053.0,3.0,3.0,0.0,24.0,0.36,0.156,0.33,0.0,0.0,0.0,0.06,0.0,0.0
931,옥수수콘치즈 is 뭔들..♡ 간단하게 만들기,40.0,89.2,1.7,0.3,0.6,8.2,0.0,0.0,10.0,0.4,53.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,0.2,22.0,0.0,0.0,0.0,0.0,0.0
932,브런치로 어때?♥햄치즈브레드푸딩,666.0,84.0,28.8,40.6,3.2,43.4,0.0,0.0,244.0,11.2,998.0,130.0,276.0,590.0,590.0,0.0,0.68,1.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0
933,딸이 최고! 군고구마 쉽게 만드는 법,46.0,188.2,0.96,0.22,0.7,9.92,0.0,9.0,250.0,0.9,16.0,62.0,6.0,18.0,0.0,222.0,0.0,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.0
934,닭감자조림 맛있게 만드는 법,473.95,292.68,9.27,7.854,9.138,96.068,2.976,5.0,57.55,2.192,229.25,1296.2,2406.0,8.95,0.0,99.65,0.433,0.178,0.803,4.88,0.0,0.0,0.814,0.014,20.4
935,코다리조림,138.525,26.745,2.238,7.483,7.914,15.632,14.036,0.15,25.05,0.482,52.95,264.675,3003.525,0.075,0.0,0.825,0.053,0.046,0.326,0.0,0.0,0.0,1.099,0.022,0.0
936,생강머랭.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
937,TV에 나온 파인애플심지 구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
938,고등어조림 만드는 방법,83.325,83.185,2.553,2.548,1.3,15.416,2.16,0.085,7.2,0.511,62.025,359.675,204.95,0.0,0.0,0.0,0.136,0.014,0.311,3.84,0.0,0.0,0.021,0.0,12.0
939,고등어조림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
940,썬드라이드 토마토 만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
941,새로운맛이야~새송이버섯치즈구이,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
942,커피 브레드 푸딩,999.0,126.0,43.2,60.9,4.8,65.1,0.0,0.0,366.0,16.8,1497.0,195.0,414.0,885.0,885.0,0.0,1.02,2.28,1.5,0.0,0.0,0.0,0.0,0.0,0.0
943,웨지감자 맛있게 만드는 법,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
944,매콤한 굴비조림,79.0,78.8,2.34,0.09,0.9,17.87,0.0,1.9,5.0,0.49,50.0,351.0,1.0,1.0,0.0,8.0,0.12,0.052,0.11,0.0,0.0,0.0,0.02,0.0,0.0
945,홈카페 *겉바속촉* 에어프라이기 #햄치즈계란토스트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
946,브라우니 만들기!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
947,아이스크림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
948,오레오빙수,325.0,437.0,15.4,16.6,3.35,27.65,20.6,0.0,565.0,0.25,420.0,715.0,180.0,275.0,275.0,0.0,0.1,0.81,1.5,4.0,0.0,48.5,10.85,0.7,0.0
949,미나리 요리하면 제일 먼저 생각나는 오징어 미나리 초무침 만드는 법,255.7,226.255,7.685,5.183,3.062,52.846,23.748,13.66,87.9,2.375,206.25,1403.9,11.6,212.2,0.0,2546.9,0.304,0.74,3.189,8.15,0.0,0.0,0.494,0.015,12.0
950,"문어 겨자초무침, 겨자냉채( 입맛 돋우는 반찬, 술안주!!)",85.5,0.382,0.027,0.005,0.045,22.043,20.891,0.0,10.8,0.155,0.225,21.15,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
951,식빵 자투리 응용하기 브레드푸딩 | PANG E 팡이,389.26,725.232,9.954,6.219,3.714,80.882,44.012,9.72,242.39,2.651,246.75,967.85,480.42,99.9,82.5,208.8,0.27,0.443,4.158,260.88,0.0,14.55,3.327,0.21,6.0
952,키친아트 에어프라어로 웨지감자만들기,165.8,157.79,4.98,0.344,3.864,37.022,0.0,3.8,18.58,2.088,105.2,764.5,844.24,14.66,0.0,168.0,0.245,0.121,0.364,0.0,0.0,0.0,0.068,0.0,0.0
953,코다리 표고버섯 무조림,121.85,42.71,3.414,10.013,9.669,4.208,0.447,0.63,23.2,0.562,82.35,362.75,3631.0,0.1,0.0,1.1,0.08,0.062,0.448,0.24,0.0,0.0,1.473,0.029,0.0
954,에어프라이어 요리 누룽지 만드는법 간식만들기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,갈치조림 만드는 법,7.5,8.935,0.694,0.016,1.645,1.213,0.127,0.18,3.375,0.08,15.075,69.775,609.875,0.0,0.0,0.0,0.016,0.01,0.084,0.08,0.0,0.0,0.003,0.0,0.0
956,쫀득한 코다리조림 만드는 법,104.85,2.13,2.011,1.263,0.809,23.788,16.545,5.655,19.05,0.837,51.45,395.25,4.65,92.1,0.0,1104.45,0.064,0.324,1.264,0.0,0.0,0.0,0.222,0.008,0.0
957,휴게소 버터구이감자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,무가 사르르 갈치조림,152.4,521.615,6.22,0.921,13.936,32.528,23.351,7.24,125.6,1.1,172.75,1083.3,4837.1,0.0,0.0,0.0,0.084,0.065,1.472,42.0,0.0,0.0,0.05,0.0,0.0
959,아몬드 닭조림,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
