recipe_title,recipe_ingredients,ingredient1,quantity1,unit1,ingredient2,quantity2,unit2,ingredient3,quantity3,unit3,ingredient4,quantity4,unit4,ingredient5,quantity5,unit5,ingredient6,quantity6,unit6,ingredient7,quantity7,unit7,ingredient8,quantity8,unit8,ingredient9,quantity9,unit9,ingredient10,quantity10,unit10,ingredient11,quantity11,unit11,ingredient12,quantity12,unit12,ingredient13,quantity13,unit13,ingredient14,quantity14,unit14,ingredient15,quantity15,unit15,ingredient16,quantity16,unit16,ingredient17,quantity17,unit17,ingredient18,quantity18,unit18,ingredient19,quantity19,unit19,ingredient20,quantity20,unit20
햄감자볶음 만드는법 부서지지않고 예쁘게 만들기,"{'재료': ['감자3개', '양파1/2개', '편마늘2T', '스팸햄1개', '식용유2T', '후추약간', '맛소금1t']}",감자,3,개,양파,1/2,개,편마늘,2,T,스팸햄,1,개,식용유,2,T,후추약간,,,맛소금,1,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밥 없이도 마구마구 집어먹고 싶은 건새우볶음 만들기!,"{'재료': ['건새우100g', '슬라이스아몬드30g', '양조간장1큰술', '다진마늘1큰술', '고추장1큰술', '참기름2큰술', '통깨1큰술', '매실액1큰술', '꿀2큰술', '조청2큰술', '물2큰술']}",건새우,100,g,슬라이스아몬드,30,g,양조간장,1,큰술,다진마늘,1,큰술,고추장,1,큰술,참기름,2,큰술,통깨,1,큰술,매실액,1,큰술,꿀,2,큰술,조청,2,큰술,물,2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,
윤기 좔좔 부드럽고 고소한 오징어 실채 볶음 밑반찬 만들기,"{'재료': ['오징어실채', '식용유4T', '간장2T', '올리고당4T', '마요네즈2T', '깨']}",오징어실채,,,식용유,4,T,간장,2,T,올리고당,4,T,마요네즈,2,T,깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간장 마늘종볶음 만드는 법,"{'재료': ['마늘종300g', '식용유1큰술', '진간장4~5큰술', '올리고당2~3큰술', '참기름1큰술', '통깨1큰술']}",마늘종,300,g,식용유,1,큰술,진간장,4~5,큰술,올리고당,2~3,큰술,참기름,1,큰술,통깨,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간편하고 맛있는 꼴뚜기볶음 만드는 법,"{'재료': ['마른꼴뚜기60g', '간장3T', '올리고당2T', '맛술2T', '청양고추1개', '당근조금', '통깨조금']}",마른꼴뚜기,60,g,간장,3,T,올리고당,2,T,맛술,2,T,청양고추,1,개,당근조금,,,통깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영양만점 양배추 어묵볶음,"{'재료': ['양배추반통의잎3장', '어묵2장', '대파적당량', '당근1토막', '양파4분의1개', '올리브오일2스푼'], '양념': ['진간장2스푼반', '고춧가루3분의1스푼', '설탕3분의1스푼', '다진마늘1/2스푼', '부순깨1/2스푼', '참기름1/2스푼']}",양배추반통의잎,3,장,어묵,2,장,대파적당량,,,당근,1,토막,양파,4,분의,올리브오일,2,스푼,진간장,2,스푼반,고춧가루,3,분의,설탕,3,분의,다진마늘,1/2,스푼,부순깨,1/2,스푼,참기름,1/2,스푼,,,,,,,,,,,,,,,,,,,,,,,,
꼬들꼬들 맛있는 반찬...오이볶음,"{'재료': ['오이1개', '소금1/2큰술', '참기름1큰술', '식용유1큰술', '다진마늘1/2큰술', '고추가루1/2큰술', '통깨약간']}",오이,1,개,소금,1/2,큰술,참기름,1,큰술,식용유,1,큰술,다진마늘,1/2,큰술,고추가루,1/2,큰술,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
멸치볶음,"{'재료': ['잔멸치200g', '마늘5알', '아몬드1줌', '땅콩1줌'], '양념': ['간장1T', '맛술2T', '설탕1T', '올리고당1T', '깨소금2T']}",잔멸치,200,g,마늘,5,알,아몬드,1,줌,땅콩,1,줌,간장,1,T,맛술,2,T,설탕,1,T,올리고당,1,T,깨소금,2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매콤 가지볶음 절였더니 쫄깃하네,"{'재료': ['가지3개', '양파1/2개', '대파1/2컵'], '양념': ['간장1.5T', '국간장0.5T', '매실액1T', '맛술1/2T', '고춧가루2T', '깨1/2T']}",가지,3,개,양파,1/2,개,대파,1/2,컵,간장,1.5,T,국간장,0.5,T,매실액,1,T,맛술,1/2,T,고춧가루,2,T,깨,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[아기반찬] 국민반찬! 아기 멸치볶음 황금레시피,"{'재료 및 양념': ['잔멸치1줌', '올리브유1t', '버터1t', '간장1t', '맛술1t', '올리고당2t', '참기름살짝']}",잔멸치,1,줌,올리브유,1,t,버터,1,t,간장,1,t,맛술,1,t,올리고당,2,t,참기름살짝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무청볶음 통들깨 넣고 구수하게~,"{'무청볶음 재료': ['무청6타래', '액젓1큰술', '양조간장1큰술', '다진마늘1큰술', '통들깨약간', '들기름3큰술', '파약간']}",무청,6,타래,액젓,1,큰술,양조간장,1,큰술,다진마늘,1,큰술,통들깨약간,,,들기름,3,큰술,파약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[자취요리] 참치캔 요리! 초 간단 고추참치 만들기 맛도 굿굿!,"{'재료': ['참치캔(200g)1캔', '양파1개', '고추2개', '고추장4T', '케찹2T', '설탕2T', '올리고당1T']}",참치캔,,,양파,1,개,고추,2,개,고추장,4,T,케찹,2,T,설탕,2,T,올리고당,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시골 할머니가 생각나는 무나물,"{'재료': ['무250g', '다진마늘1/2큰술', '소금1티스푼', '들기름1큰술', '다시마육수100ml', '깨조금']}",무,250,g,다진마늘,1/2,큰술,소금,1,티스푼,들기름,1,큰술,다시마육수,100,ml,깨조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[혼자 해먹기] 아삭아삭 콩나물볶음,"{'재료': ['콩나물한봉지380g', '고추가루1스푼', '다진마늘1스푼', '썰어놓은양파1주먹', '썰어놓은대파1주먹', '식용유3스푼', '소금1스푼', '청양고추1/2개']}",콩나물한봉지,380,g,고추가루,1,스푼,다진마늘,1,스푼,썰어놓은양파,1,주먹,썰어놓은대파,1,주먹,식용유,3,스푼,소금,1,스푼,청양고추,1/2,개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부서지지 않는 감자채볶음,"{'재료': ['감자2개', '양파1/2개', '당근1/3개'], '양념': ['소금1티스푼', '식용유2숟갈', '맛소금2꼬집', '후추톡톡']}",감자,2,개,양파,1/2,개,당근,1/3,개,소금,1,티스푼,식용유,2,숟갈,맛소금,2,꼬집,후추톡톡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
추억에 맛 묵은지 볶음,"{'재료': ['묵은지(배추김치)1포기', '식용유2큰술', '물1컵'], '양념': ['다시다1/2큰술', '설탕1/2큰술', '다진마늘1/2큰술', '참기름1큰술', '깨소금1/2큰술']}",묵은지(배추김치),1,포기,식용유,2,큰술,물,1,컵,다시다,1/2,큰술,설탕,1/2,큰술,다진마늘,1/2,큰술,참기름,1,큰술,깨소금,1/2,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양배추오뎅볶음 아이들반찬으로 맛있어요,"{'재료': ['오뎅2컵', '양파1/2쪽', '양배추적당히', '파채적당히', '마늘1T', '진간장3T', '올리고당1T', '들기름1T']}",오뎅,2,컵,양파,1/2,쪽,양배추적당히,,,파채적당히,,,마늘,1,T,진간장,3,T,올리고당,1,T,들기름,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바라깻잎으로 만든~ 깻잎나물- 딸에게# / 깻잎나물 부드럽게 하는 방법 /여름 건강식,"{'재료': ['깻잎순300g', '홍고추1/2개', '다진파1T', '다진마늘1/2T', '집간장1/2T', '간장1/2T', '들기름1T', '통깨1t', '물1컵']}",깻잎순,300,g,홍고추,1/2,개,다진파,1,T,다진마늘,1/2,T,집간장,1/2,T,간장,1/2,T,들기름,1,T,통깨,1,t,물,1,컵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
꽈리고추 어묵볶음,"{'재료': ['어묵2장', '꽈리고추2줌'], '양념 ': ['간장1스푼', '마늘5쪽', '올리고당1스푼', '맛술1스푼', '참기름0.5스푼', '통깨0.5스푼', '후춧가루적당히']}",어묵,2,장,꽈리고추,2,줌,간장,1,스푼,마늘,5,쪽,올리고당,1,스푼,맛술,1,스푼,참기름,0.5,스푼,통깨,0.5,스푼,후춧가루적당히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
매일 반찬 한가지...마늘마요 멸치볶음,"{'재료': ['잔멸치2컵', '마요네즈2큰술', '간장1/2큰술', '청주1큰술', '매실청1큰술', '올리고당1큰술', '다진마늘1큰술', '청양고추2개']}",잔멸치,2,컵,마요네즈,2,큰술,간장,1/2,큰술,청주,1,큰술,매실청,1,큰술,올리고당,1,큰술,다진마늘,1,큰술,청양고추,2,개,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명엽채 볶음(feat. 수미네 반찬),"{'재료': ['명엽채150g', '식용유1큰술', '맛술1큰술'], '양념': ['간장1큰술', '올리고당1큰술', '참기름1큰술', '통깨1큰술']}",명엽채,150,g,식용유,1,큰술,맛술,1,큰술,간장,1,큰술,올리고당,1,큰술,참기름,1,큰술,통깨,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
카레감자채볶음,"{'재료': ['감자3개', '당근조금', '양파1/2개'], '양념': ['다진마늘1/3스푼', '소금1/2T스푼', '물3스푼', '카레가루1스푼', '통깨1스푼', '식용유']}",감자,3,개,당근조금,,,양파,1/2,개,다진마늘,1/3,스푼,소금,1/2,T스푼,물,3,스푼,카레가루,1,스푼,통깨,1,스푼,식용유,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소시지 감자볶음 아이 밥반찬,"{'재료': ['감자2개(중간사이즈)', '소시지긴거1+1/2개', '대파1/4대', '양파1/4개', '소금약간', '후춧가루약간']}",감자,2,개,소시지긴거,1+1/2,개,대파,1/4,대,양파,1/4,개,소금약간,,,후춧가루약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
간장 잔멸치볶음 바삭하게 만드는법 남편 아이도시락반찬요리,"{'재료': ['잔멸치60g', '간장1T', '미림1T', '참기름1t', '통깨약간', '마늘4알', '설탕1t']}",잔멸치,60,g,간장,1,T,미림,1,T,참기름,1,t,통깨약간,,,마늘,4,알,설탕,1,t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청양고추멸치볶음 ♥ 달달함 속에 짜릿한 매운맛까지,"{'필수재료': ['잔멸치2줌', '청양고추2개'], '양념재료': ['식용유2숟가락', '간장1숟가락', '맛술2숟가락', '다진마늘1/2숟가락', '올리고당2숟가락', '통깨1숟가락']}",잔멸치,2,줌,청양고추,2,개,식용유,2,숟가락,간장,1,숟가락,맛술,2,숟가락,다진마늘,1/2,숟가락,올리고당,2,숟가락,통깨,1,숟가락,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진미채 간장볶음 이게 바로 밥도둑!,"{'재료': ['진미채200g', '마요네즈2스푼', '진간장3스푼', '올리고당2스푼', '설탕1스푼', '다진마늘1/2스푼', '참기름1스푼', '통깨']}",진미채,200,g,마요네즈,2,스푼,진간장,3,스푼,올리고당,2,스푼,설탕,1,스푼,다진마늘,1/2,스푼,참기름,1,스푼,통깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
비엔나 소세지 감자볶음,"{'재료': ['감자1개', '비엔나소세지100g', '양파1/2개', '버터2Ts', '허브소금2꼬집', '맛술1Ts', '후춧가루2꼬집']}",감자,1,개,비엔나소세지,100,g,양파,1/2,개,버터,2,Ts,허브소금,2,꼬집,맛술,1,Ts,후춧가루,2,꼬집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
마늘쫑 어묵 볶음..,"{'재료': ['어묵5장', '양파1/2개', '마늘쫑3줄', '식용유3큰술'], '양념': ['간장1큰술', '굴소스1큰술', '요리당1/2큰술', '물1/2컵', '고춧가루1티스푼', '다진마늘1티스푼', '참기름1큰술', '통깨1작은술']}",어묵,5,장,양파,1/2,개,마늘쫑,3,줄,식용유,3,큰술,간장,1,큰술,굴소스,1,큰술,요리당,1/2,큰술,물,1/2,컵,고춧가루,1,티스푼,다진마늘,1,티스푼,참기름,1,큰술,통깨,1,작은술,,,,,,,,,,,,,,,,,,,,,,,,
"제철 요리, 달달한 배추 나물과 무나물","{'배추나물재료': ['배추1/6포기', '멸치액젓2숟가락', '마늘', '식용유', '깨소금', '참기름약간'], '무나물재료': ['무200g', '멸치액젓2숟가락', '물5숟가락', '마늘1숟가락', '식용유', '깨소금', '참기름약간']}",배추,1/6,포기,멸치액젓,2,숟가락,마늘,,,식용유,,,깨소금,,,참기름약간,,,무,200,g,멸치액젓,2,숟가락,물,5,숟가락,마늘,1,숟가락,식용유,,,깨소금,,,참기름약간,,,,,,,,,,,,,,,,,,,,,,,
간장 오징어채볶음 부드럽게 하는 진미채,"{'재료': ['오징어채150g간장3T', '올리고당2T', '맛술2T', '간마늘1T', '들기름1T', '통깨']}",오징어채,150,g간장,올리고당,2,T,맛술,2,T,간마늘,1,T,들기름,1,T,통깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
콩나물 볶음,"{'재료': ['콩나물1봉지', '작은대파1개'], '양념': ['진간장2T', '고춧가루2T', '참깨1T', '들기름2T', '물1머그컵', '다시다1T']}",콩나물,1,봉지,작은대파,1,개,진간장,2,T,고춧가루,2,T,참깨,1,T,들기름,2,T,물,1,머그컵,다시다,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청경채볶음 간단하지만 색다른 반찬~!,"{'재료': ['청경채6개', '양파작은거1개', '당근조금', '다진마늘1스푼', '굴소스1스푼', '간장1스푼', '후추참깨']}",청경채,6,개,양파작은거,1,개,당근조금,,,다진마늘,1,스푼,굴소스,1,스푼,간장,1,스푼,후추참깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국민 밑반찬 오징어채볶음,"{'재료': ['오징어채1줌'], '양념': ['마요네즈1큰술', '깨소금약간', '고추장2큰술', '설탕1/2큰술', '다진마늘1작은술', '간장1작은술', '참기름2작은술', '조청or물엿2큰술']}",오징어채,1,줌,마요네즈,1,큰술,깨소금약간,,,고추장,2,큰술,설탕,1/2,큰술,다진마늘,1,작은술,간장,1,작은술,참기름,2,작은술,조청,,or물엿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진미채볶음 황금레시피! 쉽고 간단한 밑반찬!,"{'재료': ['진미채200g', '고추장3Ts', '물엿4Ts', '설탕1Ts', '다진마늘1Ts', '깨소금조금', '참기름조금']}",진미채,200,g,고추장,3,Ts,물엿,4,Ts,설탕,1,Ts,다진마늘,1,Ts,깨소금조금,,,참기름조금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
쉽고 간단한 매콤 감자볶음,"{'재료': ['감자300g', '당근50g', '청양고추3개', '천일염약간', '식용유1큰술'], '양념': ['다진마늘1큰술', '고운소금2꼬집', '맛술1큰술', '참치액1작은술', '들기름1큰술', '후추약간']}",감자,300,g,당근,50,g,청양고추,3,개,천일염약간,,,식용유,1,큰술,다진마늘,1,큰술,고운소금,2,꼬집,맛술,1,큰술,참치액,1,작은술,들기름,1,큰술,후추약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
썩을 때 까지!! 촉촉하게 즐기는 진미채 볶음!! 절대 촉촉함을 잃지 않습니다!,"{'재료': ['진미채150g', '식용유2스푼', '간마늘1스푼', '고추가루1/2스푼', '고추장1/2스푼'], '진미채불리기': ['물800cc', '미림50cc'], '양념장': ['설탕1스푼', '미림2스푼', '진간장1스푼', '물엿1스푼', '매실액1스푼', '물2스푼'], '마무리': ['마요네즈1/2스푼']}",진미채,150,g,식용유,2,스푼,간마늘,1,스푼,고추가루,1/2,스푼,고추장,1/2,스푼,물,800,cc,미림,50,cc,설탕,1,스푼,미림,2,스푼,진간장,1,스푼,물엿,1,스푼,매실액,1,스푼,물,2,스푼,마요네즈,1/2,스푼,,,,,,,,,,,,,,,,,,
어묵볶음 맛있게 만드는 법 어머니께서 좋아하시는 반찬입니다.,"{'재료': ['어묵10장', '대파1/3개', '양파1/2개', '노란파프리카1/2개', '빨간파프리카1/2개', '마늘5개'], '양념': ['굴소스2T', '간장1/2T', '설탕1/2T', '참기름1T', '볶은참깨1T', '식용유3T']}",어묵,10,장,대파,1/3,개,양파,1/2,개,노란파프리카,1/2,개,빨간파프리카,1/2,개,마늘,5,개,굴소스,2,T,간장,1/2,T,설탕,1/2,T,참기름,1,T,볶은참깨,1,T,식용유,3,T,,,,,,,,,,,,,,,,,,,,,,,,
어묵볶음,"{'재료': ['사각어묵2장', '양파약간', '대파1/2대', '당근약간', '참깨', '식용유1큰술'], '양념': ['간장1/2큰술', '굴소스1큰술', '고춧가루1/2큰술', '다진마늘1/2작은술', '올리고당1큰술', '참기름약간']}",사각어묵,2,장,양파약간,,,대파,1/2,대,당근약간,,,참깨,,,식용유,1,큰술,간장,1/2,큰술,굴소스,1,큰술,고춧가루,1/2,큰술,다진마늘,1/2,작은술,올리고당,1,큰술,참기름약간,,,,,,,,,,,,,,,,,,,,,,,,,,
마늘종볶음 제철 간단하고 쉬운반찬,"{'재료': ['마늘종1줌', '간장1.5큰술', '올리고당2/3큰술', '통깨약간']}",마늘종,1,줌,간장,1.5,큰술,올리고당,2/3,큰술,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가지볶음~정말 3분도 안걸려요?,"{'재료': ['가지2개', '참기름1T', '식용유1/2T', '간장1T', '올리고당1t', '통깨1t', '가지절임소금1/2T']}",가지,2,개,참기름,1,T,식용유,1/2,T,간장,1,T,올리고당,1,t,통깨,1,t,가지절임소금,1/2,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
머쉬마루버섯 가지볶음,"{'재료': ['가지3개', '머쉬마루버섯180g', '양파1/2개', '대파약간', '홍고추1개'], '양념': ['간장2큰술', '굴소스1큰술', '다진마늘1큰술', '올리고당1큰술']}",가지,3,개,머쉬마루버섯,180,g,양파,1/2,개,대파약간,,,홍고추,1,개,간장,2,큰술,굴소스,1,큰술,다진마늘,1,큰술,올리고당,1,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
어른 입맛 취향 저격! 무나물,"{'재료': ['무작은1토막', '들기름1T', '물1/4컵', '다진파조금', '소금0.3T']}",무작은,1,토막,들기름,1,T,물,1/4,컵,다진파조금,,,소금,0.3,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밑반찬 게맛살 볶음 만들기,"{'재료': ['게맛살10줄', '양파1/2개', '브로콜리소량(없어도무관)', '진간장3큰술', '올리고당1+1/2큰술', '다진마늘1/2큰술', '깨소금약간']}",게맛살,10,줄,양파,1/2,개,브로콜리소량(없어도무관),,,진간장,3,큰술,올리고당,1+1/2,큰술,다진마늘,1/2,큰술,깨소금약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아몬드멸치볶음,"{'재료': ['잔멸치100g', '아몬드슬라이스1줌'], '양념': ['마요네즈3T', '설탕약간', '간장1T', '올리고당3T', '다진마늘1T', '통깨', '맛술2T', '식용유1T']}",잔멸치,100,g,아몬드슬라이스,1,줌,마요네즈,3,T,설탕약간,,,간장,1,T,올리고당,3,T,다진마늘,1,T,통깨,,,맛술,2,T,식용유,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아가도 어른도 즐겨먹을수 있는 간장진미채:-),"{'재료': ['진미채1근'], '양념': ['간장3스푼', '올리고당2스푼', '설탕1스푼', '미림1스푼', '참기름1스푼', '마요네즈1스푼']}",진미채,1,근,간장,3,스푼,올리고당,2,스푼,설탕,1,스푼,미림,1,스푼,참기름,1,스푼,마요네즈,1,스푼,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가지 볶음★초간단,"{'재료': ['가지3개', '양파1/2개', '대파1/2개'], '양념': ['올리브유4T', '다진마늘1T', '굴소스1T', '간장3T', '설탕1T', '깨0.5T', '참기름1T']}",가지,3,개,양파,1/2,개,대파,1/2,개,올리브유,4,T,다진마늘,1,T,굴소스,1,T,간장,3,T,설탕,1,T,깨,0.5,T,참기름,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무나물 딸랑 무하나로 만드는 나물반찬,"{'재료': ['무1개', '소금1/3큰술', '다진마늘1/2큰술', '통깨1/2큰술', '들기름3큰술', '쪽파약간']}",무,1,개,소금,1/3,큰술,다진마늘,1/2,큰술,통깨,1/2,큰술,들기름,3,큰술,쪽파약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소시지 양송이버섯 볶음,"{'재료': ['통그릴비엔나4개', '양송이버섯5개', '청양초1개'], '양념': ['굴소스1/2큰술', '후추톡톡', '올리고당약간']}",통그릴비엔나,4,개,양송이버섯,5,개,청양초,1,개,굴소스,1/2,큰술,후추톡톡,,,올리고당약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
가지요리 스팸가지볶음 간단하지만 맛나!!,"{'재료': ['가지1개', '스팸200g', '양파1/2개', '파약간', '굴소스1큰술', '소금1/2작은술', '후추가루약간', '통깨약간']}",가지,1,개,스팸,200,g,양파,1/2,개,파약간,,,굴소스,1,큰술,소금,1/2,작은술,후추가루약간,,,통깨약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부서지지않은 감자볶음,"{'재료': ['감자2개', '당근(생략가능3조각', '양파작1개', '청양고추3개'], '양념': ['소금1작은술', '식용유1T', '다시다약간', '깨소금1T']}",감자,2,개,당근,,,양파작,1,개,청양고추,3,개,소금,1,작은술,식용유,1,T,다시다약간,,,깨소금,1,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
두반장 활용 요리 / 두반장 소세지볶음,"{'재료': ['소세지200g', '양파1/4개', '청파프리카1/4개', '식용유3Ts', '다진마늘1/2Ts', '고춧가루1Ts', '두반장1Ts', '설탕1Ts', '굴소스1/2Ts', '케첩2Ts']}",소세지,200,g,양파,1/4,개,청파프리카,1/4,개,식용유,3,Ts,다진마늘,1/2,Ts,고춧가루,1,Ts,두반장,1,Ts,설탕,1,Ts,굴소스,1/2,Ts,케첩,2,Ts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
요리 초보의 굴소스를 곁들인 쫄깃쫄깃한 표고버섯볶음 만들기,"{'재료': ['표고버섯5~6개', '양파1개', '당근2/3개', '식용유넉넉히', '다진마늘4~5알', '진간장1T', '굴소스1T', '참기름1T', '통깨넉넉히']}",표고버섯,5~6,개,양파,1,개,당근,2/3,개,식용유넉넉히,,,다진마늘,4~5,알,진간장,1,T,굴소스,1,T,참기름,1,T,통깨넉넉히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
잔멸치볶음 만드는법 단짠바사삭,"{'재료': ['잔멸치300g정도', '기름3스푼', '진간장1스푼', '올리고당2~3스푼', '맛술1스푼', '참기름1스푼', '깨소금']}",잔멸치,300,g정도,기름,3,스푼,진간장,1,스푼,올리고당,2~3,스푼,맛술,1,스푼,참기름,1,스푼,깨소금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[고추장진미채볶음] 간단한 고추장진미채볶음 만들기 -양싸,"{'재료': ['진미채1봉', '청양고추1개'], '양념': ['마요네즈2T', '고추장2T', '들기름1ts', '물엿2T', '간장1T', '다진마늘1ts', '고추가루1ts', '깨']}",진미채,1,봉,청양고추,1,개,마요네즈,2,T,고추장,2,T,들기름,1,ts,물엿,2,T,간장,1,T,다진마늘,1,ts,고추가루,1,ts,깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부서지지 않고 쉽게 감자채볶음 만드는 방법(김진옥요리가좋다),{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소시지간장볶음! 단짠단짠 매력이 넘치는 쏘야 간장버전!,"{'재료': ['소시지350g', '떡20개', '청양고추2개', '다진마늘1T', '파적당히', '들기름1T', '깨'], '양념장': ['간장7T', '굴소스3T', '올리고당5T', '맛술3T', '후추']}",소시지,350,g,떡,20,개,청양고추,2,개,다진마늘,1,T,파적당히,,,들기름,1,T,깨,,,간장,7,T,굴소스,3,T,올리고당,5,T,맛술,3,T,후추,,,,,,,,,,,,,,,,,,,,,,,,,,
오독오독~ 오이나물볶음,"{'재료': ['가시오이2개', '굵은소금약간'], '양념재료': ['소금0.5큰술', '다진마늘0.5큰술', '설탕약간', '깨소금약간', '참기름약간']}",가시오이,2,개,굵은소금약간,,,소금,0.5,큰술,다진마늘,0.5,큰술,설탕약간,,,깨소금약간,,,참기름약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
밥반찬 다시멸치 고추장볶음,"{'재료': ['손질다시멸치1대접정도', '청양초3', '통마늘4'], '양념': ['간장1/2큰술', '고추장1.5큰술', '고춧가루1큰술', '생강매실맛술3큰술', '올리고당3큰술']}",손질다시멸치,1,대접정도,청양초,3,,통마늘,4,,간장,1/2,큰술,고추장,1.5,큰술,고춧가루,1,큰술,생강매실맛술,3,큰술,올리고당,3,큰술,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소시지 야채볶음,"{'주 재료': ['양파1개', '비엔나소시지110g'], '소스': ['케첩3큰술', '간장1/2큰술', '설탕1작은술', '물1컵']}",양파,1,개,비엔나소시지,110,g,케첩,3,큰술,간장,1/2,큰술,설탕,1,작은술,물,1,컵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"고추장진미채볶음! 모두가 좋아하는 밑반찬, 간단하고 맛있게 만들기!","{'재료': ['진미채200g', '마요네즈2T'], '양념': ['식용유3T', '고춧가루1.5T', '맛술1.5T', '다진마늘0.5T', '고추장3T', '올리고당5T', '진간장2T', '물3T']}",진미채,200,g,마요네즈,2,T,식용유,3,T,고춧가루,1.5,T,맛술,1.5,T,다진마늘,0.5,T,고추장,3,T,올리고당,5,T,진간장,2,T,물,3,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
스페인하숙 차승원 진미채볶음 따라하기,"{'재료': ['진미채400g', '고추장2스푼', '고춧가루3스푼', '물엿1.5스푼', '간장3스푼', '설탕2스푼', '참기름1/2스푼', '통깨']}",진미채,400,g,고추장,2,스푼,고춧가루,3,스푼,물엿,1.5,스푼,간장,3,스푼,설탕,2,스푼,참기름,1/2,스푼,통깨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
들깨취나물볶음 들깨향이 솔솔 나서 좋아요~,"{'재료와 양념': ['취나물2봉지', '식용유1스푼', '들기름1스푼', '액젓2스푼', '다진마늘1스푼', '들깨가루3스푼', '대파약간']}",취나물,2,봉지,식용유,1,스푼,들기름,1,스푼,액젓,2,스푼,다진마늘,1,스푼,들깨가루,3,스푼,대파약간,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
